Bottom,BOTTOM,bottom,ass_bottom_maybe,ass_bottom,,,
Cobweb,COBWEB,cobweb,,,,,
Demetrius_mnd,Demetrius,DEMETRIUS,demetrius,man_demetrius,Athenian_demetrius,,
Egeus,EGEUS,egeus,father_Egeus,,,,
Fairy,FAIRY,fairy,spirit_fairy,,,,
Flute,FLUTE,flute,,,,,
Helena_mnd,Helena,HELENA,helena,Athenian lady_helena,,,
Hermia,HERMIA,hermia,love_Hermia,woman_hermia,,,
Hippolyta,HIPPOLYTA,hippolyta,love_Hippolyta,duchess_Hippolyta,sweet_Hippolyta,,
Lysander,LYSANDER,lysander,,,,,
Moth_mnd,Moth,MOTH,moth,,,,,
Mustardseed,MUSTARDSEED,mustardseed,,,,,
Oberon,OBERON,oberon,king,Captain_oberon,Lord_oberon,king_oberon,lord_oberon
Peaseblossom,PEASEBLOSSOM,peaseblossom,,,,,
Philostrate,PHILOSTRATE,philostrate,,,,,
Puck,PUCK,puck,Robin Goodfellow,Robin_puck,,,
Quince,QUINCE,quince,Peter_Quince,,,,
Snout,SNOUT,snout,,,,,
Snug,SNUG,snug,,,,,
Starveling,STARVELING,starveling,,,,,
Theseus,THESEUS,theseus,duke_Theseus,duke,lord_Theseus,,
Titania,TITANIA,titania,queen,,,,
Pyramus,PYRAMUS,pyramus,,,,,
Thisby,THISBY,thisby,Thisbe,THISBE,thisbe,Thisne,dear_Thisbe
Lion,LION,lion,,,,,
Changeling,CHANGELING,changeling,boy_changeling,child_changeling,,,
mother_changeling,,,,,,,
Moonshine,MOONSHINE,moonshine,,,,,
Cupid,,,,,,,
Wall,WALL,wall,,,,,
Hercules,,,,,,,
Cadmus,,,,,,,
All_mnd,,,
