Adrian,Adrian-tem_Adrian,,,,,,,,,,,,,,
Alonso,king_Alonso,sir_Alonso,friend_Alonso,father_Alonso,him_Alonso,,,,,,,,,,
Antonio,Antonio-tem_Antonio,duke_Antonio,yours_Antonio,Antonio-tem,brother_Antonio,,,,,,,,,,
Ariel,monkey_Ariel,ninny's_Ariel,patch_Ariel,tabourer_Ariel,bird_Ariel,fairy_Ariel,diligence_Ariel,thou_Ariel,,,,,,,
Boatswain,fellow_Boatswain,blasphemy_Boatswain,,boatswain,,,,,,,,,,,
Caliban,moon-calf_Caliban,monster_Caliban,man_Caliban,monster's_Caliban,Cacaliban_Caliban,Servant-monster_Caliban,folly_Caliban,man-monster_Caliban,devil_Caliban,bully-monster_Caliban,knave_Caliban,demi-devil_Caliban,thing_Caliban,sirrah_Caliban,
Ceres,sister_Ceres,,,,,,,,,,,,,,
Ferdinand,Ferdinand-tem_Ferdinand,son_Ferdinand,Sweet_Ferdinand,sir_Ferdinand,lord_Ferdinand,Ferdinand-tem,thou_Ferdinand,,,,,,,,
Francisco,Francisco-tem_Francisco,Francisco-tem,,,,,,,,,,,,,
Gonzalo,lord_Gonzalo,,,,,,,,,,,,,,
Iris,messenger_Iris,,,,,,,,,,,,,,
Juno,,,,,,,,,,,,,,,
Mariners,,,,,,,,,,,,,,,
Master,master_Master,MasterShip,him_master,,,,,,,,,,,,
Miranda,mistress_Miranda,creature_Miranda,worm_Miranda,dearest_Miranda,daughter_Miranda,child_Miranda,life_Miranda,wife_Miranda,love_Miranda,maid_Miranda,lady_Miranda,issue_Miranda,your_Miranda,thou_Miranda,girl_Miranda
Nymphs,,,,,,,,,,,,,,,
Prospero,tyrant_Prospero,master_Prospero,father's_Prospero,father_Prospero,sorcerer_Prospero,party_Prospero,sir_Prospero,Spirit_Ariel,commander_Prospero,mole_Prospero,lord_Prospero,Duke_Prospero,Milan_Prospero,,
Reapers,,,,,,,,,,,,,,,
Sebastian,Sebastian-tem_Sebastian,Brother_Sebastian,sir_Sebastian,Sebastian-tem,,,,,,,,,,,
Stephano,Stephano-tem_Stephano,god's_Stephano,man_Stephano,drunkard_Stephano,master_Stephano,lord_Stephano,greatness_Stephano,king_Stephano,sirrah_Stephano,,,,,,
Trinculo,Trinculo's_Trinculo,Trinculos_Trinculo,fool_Trinculo,,,,,,,,,,,,
Sycorax,mistress_Sycorax,mother_Sycorax,,,,,,,,,,,,,
Silver,,,,,,,,,,,,,,,
Fury,,,,,,,,,,,,,,,
Tyrant,,,,,,,,,,,,,,,
Claribel,daughter_Alonso,,,,,,,,,,,,,,
Setebos,,,,,,,,,,,,,,,
