antonio,Antonio-mv,master_antonio,,
balthasar,,,,
bassanio,Venetian_Bassanio,scholar_Bassanio,soldier_Bassanio,master_Bassanio
clerk,,,,
duke_venice,DUKE,,,
gratiano,Gratiano-mv,,,
lessica,,,,
Launcelot,,,,
leonardo,,,,
lorenzo,,,,
nerissa,,,,
old_gobbo,father_Gobbo,,,
portia,Portia-mv,lady_Portia,,
prince_Arragon,,Prince of Arragon,,
prince_Morocco,PrinceMorocco,Prince of Morocco,,
salanio,,,,
salarino,,,,
salerio,,,,
servant,,,,
shylock,master Jew,father_shylock,Jew_shylock,master_shylock
stephano,,,,
tubal,,,,
alcides,,,,
hercules,,,,
jessica,daughter_jessica,,,
Clerk-mv,,,,
gaoler,,,,
Doctor Bellario,Bellario,,,
jessica_mother,,,,
Cato,father_cato,,,
Neapolitan_prince,,,,
County_Palatine,,,,
Monsieur Le Bon,,,,
Falconbridge,,,,
Montferrat,,,,
Margery,,,,
