francisco,Francisco,,,,,,,,,,,,,,
bernardo,Bernardo,,,,,,,,,,,,,,
hamghost,ghost,Ghost,King_Ghost,brother_Ghost,king_Ghost,father_Ghost,Hamlet_Ghost,gentlemen_Ghost,lord_Ghost,,,,,,
horatio,Horatio,,,,,,,,,,,,,,
marcellus,Marcellus,,,,,,,,,,,,,,
claudius,Claudius,King,lord_Claudius,King_Claudius,uncle_Claudius,uncle_Claudius,beast_Claudius,brother_Claudius,king_Claudius,lord_Claudius,Majesty_Claudius,Highness_Claudius,liege_Claudius,uncle-father_Claudius,villain_Claudius,husband_Claudius
gertrude,Gertrude,Queen,sister_Gertrude,queen_Gertrude,Queen_Gertrude,mother_Gertrude,madam_Gertrude,Madam_Gertrude,aunt-mother_Gertrude,wife_Gertrude,lady_Gertrude,Mother_Gertrude,,,,
hamlet,Hamlet,lordship_Hamlet,lord_Hamlet,man_Hamlet,sir_Hamlet,HAMLET,wretch_Hamlet,son_Hamlet,prince_Hamlet,,,,,,
polonius,Polonius,father_Polonius,father_Polonius,lord_Polonius,Jephthah_Polonius,,,,,,,
laertes,Laertes,son_Laertes,brother_Laertes,,,,,,,,,,,,
ophelia,Ophelia,sister_Ophelia,daughter_Ophelia,lady_Ophelia,Lady_Ophelia,maid_Ophelia,,,,,,,,,
voltemand,Voltemand,,,,,,,,,,,,,,
cornelius,Cornelius,,,,,,,,,,,,,,
fortinbras,Fortinbras,lord_Fortinbras,,,,,,,,,,,,,
father_FatherofGhost,Father of Ghost,,,,,,,,,,,,,,
julius,Julius,,,,,,,,,,,,,,
neptune,Neptune,,,,,,,,,,,,,,
rosencrantz,Rosencrantz,sir_Rosencrantz,,,,,,,,,,,,,
guildenstern,Guildenstern,,,,,,,,,,,,,,
reynaldo,Reynaldo,,,,,,,,,,,,,,
gents_ham,,,,,,,,,,,,,,,
norcapt,Captain_Norcapt,sir_Norcapt,,,,,,,,,,,,,
hamgent,Gentleman_Hamgent,,,,,,,,,,,,,,
1player_ham,,,,
players,Players,,,,,,,,,,,,,
servant_ham,Attendant_Servant_ham,,,,,,,,,,,,,,
claudio,Claudio,,,,,,,,,,,,,,
Norman_Lamound,Lamound,,,,,,,,,,,,,,
PlayerKing,King_Player,,,,,,,,,,,,,,
PlayerQueen,Queen_Player,,,,,,,,,,,,,,
lucianus,Lucianus,,,,,,,,,,,,,,
clown1_ham,,,,,,,,,,,,,,,
clown2_ham,,,,,,,,,,,,,,,
Yorick,,,,,,,,,,,,,,,
Alexander,,,,,,,,,,,,,,,
osric,Osric,,,,,,,,,,,,,,
lord_ham,Random Lord,,,,,,,,,,,,,,
all_ham,,,,,,
messenger_ham,Messenger
sailor_ham,,,
hampriest,priest,,,
ambassador,,,,
Gonzago,,,
Baptista,,
